school_name,type,lat,lng
서울문덕초등학교,초등학교,37.48518009,127.127729
서울양화초등학교,초등학교,37.5436693,126.873986
서울일신초등학교,초등학교,37.59881357,127.0401072
동마중학교,중학교,37.56280251,127.0403512
서울신동초등학교,초등학교,37.51713004,127.0113904
서울전곡초등학교,초등학교,37.58070429,127.0560124
을지중학교,중학교,37.64978791,127.0717084
창문여자고등학교,고등학교,37.6134057,127.0357962
덕일전자공업고등학교,고등학교,37.49053652,126.8371091
서울영동초등학교,초등학교,37.52700691,126.9077034
영신여자고등학교,고등학교,37.65245208,127.0832893
서울대동초등학교,초등학교,37.49370503,126.9001194
서울화곡초등학교,초등학교,37.54366962,126.8464717
서울미동초등학교,초등학교,37.56335057,126.9658506
서울봉현초등학교,초등학교,37.49124068,126.9555874
서울은평초등학교,초등학교,37.60230404,126.9340336
서울컨벤션고등학교,고등학교,37.5592845,127.1580303
오주중학교,중학교,37.50150661,127.1362653
서울당중초등학교,초등학교,37.52628923,126.8894135
목동고등학교,고등학교,37.50921598,126.860143
서울도림초등학교,초등학교,37.50750302,126.9072907
용산고등학교,고등학교,37.54480263,126.981731
잠실여자고등학교,고등학교,37.50179413,127.1142413
구로고등학교,고등학교,37.49884008,126.8903092
위례솔중학교,중학교,37.48701307,127.1505867
한양대학교사범대학부속중학교,중학교,37.56191884,127.042324
서울선유초등학교,초등학교,37.53287919,126.8927768
서울청파초등학교,초등학교,37.5473049,126.9635439
서울남사초등학교,초등학교,37.48194349,126.9782341
서울버들초등학교,초등학교,37.51028143,127.0889992
서울대도초등학교,초등학교,37.49260076,127.0533774
덕원예술고등학교,고등학교,37.54862258,126.8290245
홍익대학교사범대학부속중학교,중학교,37.59366662,127.002805
서울두산초등학교,초등학교,37.46754839,126.8909461
수서중학교,중학교,37.49120377,127.1023799
서울왕북초등학교,초등학교,37.48632828,127.0860547
서울독산초등학교,초등학교,37.46565691,126.8997128
서울연지초등학교,초등학교,37.63319251,127.0595343
오류중학교,중학교,37.50786222,126.8462113
장안중학교,중학교,37.60077444,127.0809965
신천중학교,중학교,37.51625001,127.0792834
잠신고등학교,고등학교,37.51470129,127.088283
동산초등학교,초등학교,37.55620463,127.0167254
서울은로초등학교,초등학교,37.50314888,126.9599535
옥정중학교,중학교,37.54167037,127.0129832
서울동산고등학교,고등학교,37.63077798,127.0739984
서울가양초등학교,초등학교,37.56221719,126.8585216
서울영림초등학교,초등학교,37.48734601,126.9025393
서울신성초등학교,초등학교,37.47200331,126.9367542
천일중학교,중학교,37.54590987,127.1276362
광양중학교,중학교,37.53089134,127.08617
서울마천초등학교,초등학교,37.49550545,127.1526295
서울오현초등학교,초등학교,37.62341912,127.0465761
서울남부초등학교,초등학교,37.48511944,126.9221838
송정중학교,중학교,37.55315807,126.8152435
신현중학교,중학교,37.60441346,127.0915328
창북중학교,중학교,37.64911577,127.0388329
서울미아초등학교,초등학교,37.61058761,127.0216444
선유고등학교,고등학교,37.53390162,126.8948507
삼선중학교,중학교,37.59174763,127.0078716
서울고현초등학교,초등학교,37.55405326,127.1658598
서울천왕초등학교,초등학교,37.48145598,126.8370629
서울원묵초등학교,초등학교,37.61774881,127.0868142
삼정중학교,중학교,37.5814869,126.8106015
서울동의초등학교,초등학교,37.55342244,127.0990473
서울을지초등학교,초등학교,37.65058885,127.0730918
서울금산초등학교,초등학교,37.44144269,126.9080871
동양중학교,중학교,37.51022314,126.9574775
북악중학교,중학교,37.60700905,127.0016095
서울은진초등학교,초등학교,37.63303012,126.920996
서울가산초등학교,초등학교,37.47816515,126.8963297
난곡중학교,중학교,37.47804558,126.9107916
서울신강초등학교,초등학교,37.52584419,126.8422639
고려대학교사범대학부속고등학교,고등학교,37.60783857,127.0028302
상도중학교,중학교,37.4909219,126.9614756
솔샘중학교,중학교,37.62366717,127.0121792
오산고등학교,고등학교,37.52350529,127.0008872
서울오륜초등학교,초등학교,37.51242411,127.1345763
서울개명초등학교,초등학교,37.48303904,126.8509791
서울상계초등학교,초등학교,37.65962546,127.066495
서라벌중학교,중학교,37.65698403,127.0114883
서울여의도초등학교,초등학교,37.52320482,126.9367944
오금고등학교,고등학교,37.50453217,127.128969
용곡중학교,중학교,37.56595126,127.0890896
숭인중학교,중학교,37.57392046,127.0440889
중원중학교,중학교,37.64423868,127.0680295
서울수색초등학교,초등학교,37.58517215,126.8960121
신관중학교,중학교,37.48020125,126.9344522
서울삼육초등학교,초등학교,37.5887715,127.0471713
이화여자대학교사범대학부속이화금란고등학교,고등학교,37.56638886,126.9473028
당산중학교,중학교,37.53203308,126.907614
세명컴퓨터고등학교,고등학교,37.6277708,126.9232499
광신고등학교,고등학교,37.4644762,126.9259406
